                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0942,                0.82328,                 1.2905,                0.99816,                0.83333,                 0.9153,                0.55733,                 1.3989,                 1.0567,                  1.509,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.0429,                0.80497,                 1.2288,                0.88411,                0.91667,                0.93591,                0.58534,                 1.3895,                0.99251,                 1.4359,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.1294,                 0.8885,                 1.2578,                0.83191,                0.82549,                0.91241,                0.55372,                   1.49,                 1.0438,                 1.5217,               0.001109,               0.001109,               0.001109
                     38,                 1.0237,                0.78301,                 1.2217,                      1,                0.73613,                0.91177,                0.58639,                 1.3913,                 1.0602,                 1.5267,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.0285,                0.78853,                 1.2654,                0.95392,                0.91667,                  0.979,                0.61962,                 1.2979,                0.74806,                 1.4764,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.0212,                0.80781,                  1.225,                      1,                0.87798,                  0.979,                0.60047,                 1.2883,                0.74291,                 1.4705,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.0134,                0.78467,                 1.2715,                 0.7542,                      1,                0.94485,                0.61068,                 1.3418,                0.82466,                 1.4432,                0.00101,                0.00101,                0.00101
                     42,                0.99123,                0.78299,                 1.2349,                 0.9845,                0.83333,                0.96669,                0.58304,                 1.3214,                0.85708,                 1.3936,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.0413,                0.77691,                 1.2496,                0.96812,                0.83333,                0.95014,                0.60879,                 1.2478,                0.92292,                 1.3603,              0.0009605,              0.0009605,              0.0009605
                     44,                 0.9734,                0.72666,                 1.1854,                0.84119,                0.88438,                0.88842,                0.58142,                 1.4676,                0.99265,                 1.6133,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.0138,                0.76444,                  1.246,                0.81551,                0.83333,                0.85981,                 0.5131,                 1.5606,                0.98598,                 1.7288,               0.000911,               0.000911,               0.000911
                     46,                   1.01,                 0.7266,                 1.2306,                0.89765,                 0.7324,                0.88171,                0.49014,                 1.5088,                 0.9245,                 1.6871,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.0156,                0.73798,                  1.225,                      1,                0.82064,                0.95633,                0.56827,                 1.3912,                0.86191,                 1.6405,              0.0008615,              0.0008615,              0.0008615
                     48,                0.86987,                0.68272,                 1.1725,                      1,                0.82691,                0.97233,                0.55375,                 1.4459,                0.86396,                 1.6774,             0.00083675,             0.00083675,             0.00083675
                     49,                0.94468,                 0.7293,                 1.1956,                0.85925,                0.83333,                0.87296,                0.48495,                 1.6612,                0.92277,                 1.9304,               0.000812,               0.000812,               0.000812
                     50,                0.96086,                0.68891,                  1.259,                0.75161,                0.91667,                0.85107,                0.48274,                 1.7159,                0.87958,                 1.9517,             0.00078725,             0.00078725,             0.00078725
                     51,                 0.9609,                0.71201,                 1.1856,                0.72903,                0.89785,                0.83345,                0.49504,                 1.6423,                0.92873,                 1.8291,              0.0007625,              0.0007625,              0.0007625
                     52,                0.94537,                0.69882,                 1.2233,                0.78408,                0.90839,                0.92704,                0.51867,                 1.5116,                0.88437,                 1.7301,             0.00073775,             0.00073775,             0.00073775
                     53,                0.98686,                0.70171,                 1.2087,                      1,                0.72225,                0.92717,                0.51163,                  1.451,                0.90436,                 1.6257,               0.000713,               0.000713,               0.000713
                     54,                0.89528,                0.66609,                 1.1772,                      1,                0.72783,                0.92717,                0.51856,                 1.3722,                0.85055,                 1.5445,             0.00068825,             0.00068825,             0.00068825
                     55,                0.92077,                0.63052,                 1.1677,                      1,                0.74187,                0.91707,                0.53536,                 1.4333,                0.77391,                 1.5788,              0.0006635,              0.0006635,              0.0006635
                     56,                0.92774,                0.67762,                  1.179,                      1,                0.74708,                0.90155,                0.51671,                 1.5162,                0.77372,                 1.6321,             0.00063875,             0.00063875,             0.00063875
                     57,                0.87528,                0.65565,                 1.1998,                      1,                0.74984,                0.90929,                0.52409,                 1.4866,                0.81063,                 1.5281,               0.000614,               0.000614,               0.000614
